Group,RMSE_CoxMunk,RMSE_Guerin,RMSE_TGRS_Hu,RMSE_Elfouhaily,RMSE_EmpiricalFusion,MeanAbsGammaError_TGRS
Linear Elfouhaily,0.00560240122845581,0.00522833363546336,0.00382687821998937,0.000753451386612449,0.00456235840684144,0.0469860133061689
MSS-Constrained Modified Lie,0.00223153729807121,0.00187859770620529,0.00227323229679807,0.00328406426760779,0.000627601238497366,0.0267818769896529
